"CRUK0487_SU_LN1","CRUK0487_SU_T1.R1","CRUK0487_SU_T1.R2","CRUK0487_SU_T1.R3","CRUK0487_SU_T1.R4","CRUK0487_SU_T1.R5","CRUK0487_SU_T1.R6","CRUK0487_SU_T1.R7"
"clonal","clonal","clonal","clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","subclonal","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","clonal","absent"
"absent","absent","absent","absent","absent","subclonal","clonal","absent"
"absent","absent","absent","absent","absent","absent","absent","subclonal"
"absent","absent","absent","absent","absent","subclonal","absent","absent"
"absent","subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent","absent","absent"
"absent","absent","clonal","clonal","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal","absent","absent","clonal"
"absent","absent","absent","absent","subclonal","subclonal","absent","absent"
"absent","clonal","clonal","clonal","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","clonal","clonal","clonal","clonal"
