"CRUK0745_SU_LN1","CRUK0745_SU_LN2","CRUK0745_SU_T1.R1","CRUK0745_SU_T1.R2","CRUK0745_SU_T1.R3","CRUK0745_SU_T1.R4","CRUK0745_SU_T1.R5"
"clonal","clonal","clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","absent","absent","absent","subclonal"
"absent","absent","absent","absent","absent","clonal","absent"
"absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","clonal","absent","clonal","absent","absent"
"clonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","subclonal"
"absent","absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","absent","absent","subclonal"
"absent","absent","absent","absent","absent","absent","subclonal"
"clonal","clonal","clonal","clonal","clonal","absent","subclonal"
"absent","absent","absent","absent","subclonal","absent","absent"
"absent","absent","subclonal","absent","subclonal","absent","absent"
"clonal","clonal","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","subclonal"
"absent","clonal","absent","absent","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","subclonal"
"absent","absent","subclonal","absent","absent","absent","absent"
"clonal","clonal","clonal","absent","clonal","absent","absent"
"absent","absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","absent","clonal","subclonal"
