"CRUK0748_SU_LN2","CRUK0748_SU_T1.R1","CRUK0748_SU_T1.R2","CRUK0748_SU_T1.R3","CRUK0748_SU_T1.R4","CRUK0748_SU_T1.R5","CRUK0748_SU_T1.R6","CRUK0748_SU_T1.R7","CRUK0748_SU_T1.R8"
"clonal","clonal","clonal","clonal","clonal","clonal","clonal","clonal","clonal"
"subclonal","absent","absent","absent","absent","absent","subclonal","subclonal","absent"
"subclonal","absent","absent","subclonal","absent","absent","clonal","subclonal","clonal"
"absent","clonal","clonal","clonal","subclonal","clonal","absent","absent","absent"
"clonal","clonal","clonal","clonal","clonal","clonal","subclonal","clonal","clonal"
"absent","absent","absent","absent","absent","subclonal","absent","absent","absent"
"absent","absent","subclonal","absent","absent","absent","absent","absent","absent"
"absent","clonal","absent","absent","absent","absent","absent","absent","absent"
"clonal","absent","absent","clonal","absent","absent","clonal","subclonal","clonal"
"absent","absent","absent","subclonal","absent","absent","subclonal","absent","clonal"
"absent","absent","absent","absent","absent","absent","subclonal","absent","absent"
"subclonal","absent","absent","absent","absent","absent","subclonal","clonal","absent"
"subclonal","absent","absent","absent","clonal","absent","absent","absent","absent"
"clonal","clonal","clonal","clonal","clonal","clonal","absent","subclonal","absent"
"absent","absent","absent","absent","clonal","absent","absent","absent","absent"
"absent","clonal","clonal","subclonal","absent","clonal","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent","absent","absent","subclonal"
"absent","absent","absent","absent","subclonal","absent","absent","absent","absent"
"subclonal","absent","absent","absent","absent","absent","subclonal","subclonal","absent"
"clonal","absent","absent","absent","clonal","absent","absent","subclonal","absent"
"clonal","clonal","clonal","clonal","clonal","clonal","clonal","clonal","absent"
