"CRUK0762_SU_LN1","CRUK0762_SU_LN2","CRUK0762_SU_T1.R1","CRUK0762_SU_T1.R2"
"clonal","clonal","clonal","clonal"
"absent","absent","absent","subclonal"
"absent","absent","subclonal","absent"
"absent","absent","absent","subclonal"
"clonal","absent","absent","absent"
"clonal","clonal","subclonal","absent"
"clonal","clonal","clonal","absent"
"absent","clonal","absent","absent"
"absent","absent","absent","clonal"
"clonal","absent","subclonal","absent"
"absent","absent","subclonal","absent"
"absent","absent","absent","subclonal"
"absent","subclonal","absent","absent"
"absent","absent","absent","subclonal"
"clonal","absent","subclonal","absent"
"clonal","absent","subclonal","absent"
"subclonal","absent","absent","absent"
