"CRUK0240_SU_LN1","CRUK0240_SU_LN2","CRUK0240_SU_T1.R1","CRUK0240_SU_T1.R2","CRUK0240_SU_T1.R3","CRUK0240_SU_T1.R4"
"clonal","clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","absent","absent","subclonal"
"clonal","absent","absent","absent","absent","absent"
"absent","absent","clonal","absent","absent","absent"
"absent","clonal","clonal","absent","clonal","clonal"
"absent","absent","absent","absent","absent","subclonal"
"clonal","absent","absent","subclonal","absent","absent"
"absent","subclonal","absent","absent","absent","absent"
"absent","clonal","absent","absent","clonal","absent"
"clonal","clonal","clonal","clonal","subclonal","clonal"
"absent","absent","absent","absent","subclonal","absent"
"clonal","absent","absent","clonal","absent","absent"
"absent","subclonal","absent","absent","absent","absent"
"absent","clonal","clonal","clonal","clonal","clonal"
"clonal","subclonal","clonal","clonal","clonal","clonal"
"clonal","subclonal","subclonal","clonal","subclonal","subclonal"
"absent","absent","absent","absent","clonal","absent"
"absent","absent","subclonal","absent","absent","absent"
