"CRUK0381_SU_T1.R1","CRUK0381_SU_T1.R2","CRUK0381_SU_T1.R3","CRUK0381_SU_T1.R4","CRUK0381_SU_T1.R5","CRUK0381_SU_T1.R6"
"clonal","clonal","clonal","clonal","clonal","clonal"
"absent","absent","subclonal","absent","absent","absent"
"absent","subclonal","absent","absent","absent","absent"
"subclonal","absent","absent","absent","absent","absent"
"absent","absent","clonal","absent","absent","absent"
"absent","absent","absent","absent","clonal","subclonal"
"absent","subclonal","absent","absent","absent","absent"
"absent","absent","absent","absent","subclonal","subclonal"
"absent","absent","absent","absent","subclonal","clonal"
"subclonal","absent","absent","subclonal","absent","subclonal"
"absent","absent","subclonal","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent"
"absent","absent","absent","absent","clonal","absent"
"absent","subclonal","absent","absent","absent","absent"
"clonal","absent","absent","absent","absent","absent"
"absent","absent","absent","subclonal","absent","subclonal"
"absent","subclonal","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","subclonal"
"absent","absent","absent","subclonal","absent","absent"
"subclonal","absent","absent","absent","absent","absent"
"subclonal","subclonal","absent","subclonal","clonal","clonal"
"absent","subclonal","absent","absent","absent","absent"
"subclonal","absent","absent","subclonal","absent","absent"
"clonal","subclonal","clonal","clonal","clonal","clonal"
"absent","absent","subclonal","absent","absent","absent"
"subclonal","subclonal","subclonal","clonal","clonal","clonal"
"absent","clonal","absent","absent","absent","absent"
"clonal","subclonal","clonal","clonal","subclonal","subclonal"
"subclonal","absent","absent","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent"
"absent","subclonal","absent","absent","absent","absent"
"absent","absent","clonal","absent","clonal","subclonal"
